2021-05-26 19:11:37,208 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-307-186.43099466959634.h5
2021-05-26 19:11:37,212 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:11:37,213 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:11:57,192 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:11:57,209 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-308-153.7845001220703.h5
2021-05-26 19:11:57,212 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:11:57,213 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:12:17,782 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:12:17,797 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-309-186.00128682454428.h5
2021-05-26 19:12:17,800 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:12:17,802 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:12:39,991 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:12:40,006 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-310-188.55064392089844.h5
2021-05-26 19:12:40,009 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:12:40,011 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:13:00,420 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:13:00,435 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-311-167.55670674641928.h5
2021-05-26 19:13:00,438 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:13:00,439 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:13:22,324 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:13:22,339 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-312-202.65067545572916.h5
